,MKT,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN,HIGH,LOW,CMP,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK,ForDate
0,Y, ,Nifty 50,Nifty 50,     14137.35,     14258.40,     14367.30,     14221.65,     14347.25,758765516134.66,3813287289,Y, ,21228827,     14367.30,      7511.10,2021-01-08
16,Y, ,Nifty Bank,Nifty Bank,     31956.00,     32298.05,     32298.05,     32002.95,     32084.20,0,0,Y, ,0,     32298.05,     16116.25,2021-01-08
62,N,EQ,ADANIPORTS,ADANI PORT & SEZ LTD,       513.85,       520.00,       527.35,       514.50,       517.00,               3789849024.45,7272250,Y, ,105599,       527.35,       203.00,2021-01-08
63,N,EQ,ASIANPAINT,ASIAN PAINTS LIMITED,      2792.25,      2818.00,      2849.80,      2789.05,      2844.70,               4676817167.50,1660967,Y, ,100519,      2849.80,      1431.20,2021-01-08
64,N,EQ,AXISBANK,AXIS BANK LIMITED,       671.10,       678.00,       678.85,       668.50,       672.70,               8261904693.35,12272794,Y, ,136289,       760.70,       286.00,2021-01-08
65,N,EQ,BAJAJ-AUTO,BAJAJ AUTO LIMITED,      3437.95,      3469.00,      3544.60,      3438.05,      3529.15,               2365669131.30,675643,Y, ,42080,      3544.60,      1788.65,2021-01-08
66,N,EQ,BAJAJFINSV,BAJAJ FINSERV LTD.,      8988.00,      9036.00,      9265.00,      8948.00,      9171.60,               7538600104.70,824261,Y, ,68802,      9950.00,      3985.30,2021-01-08
67,N,EQ,BAJFINANCE,BAJAJ FINANCE LIMITED,      5081.00,      5130.00,      5138.75,      5042.00,      5082.00,              15273648268.55,2998451,Y, ,161323,      5372.50,      1783.00,2021-01-08
68,N,EQ,BHARTIARTL,BHARTI AIRTEL LIMITED,       545.25,       549.30,       549.75,       537.30,       540.25,               7746345547.15,14270435,Y, ,125210,       612.00,       361.75,2021-01-08
69,N,EQ,BPCL,BHARAT PETROLEUM CORP  LT,       392.20,       395.00,       406.00,       394.25,       400.15,               4972975119.75,12377956,Y, ,164601,       510.00,       252.00,2021-01-08
70,N,EQ,BRITANNIA,BRITANNIA INDUSTRIES LTD,      3552.80,      3574.00,      3589.95,      3532.85,      3575.25,               3421103544.10,961239,Y, ,71792,      4010.00,      2100.00,2021-01-08
71,N,EQ,CIPLA,CIPLA LTD,       826.55,       830.70,       846.20,       827.40,       838.70,               4252438018.80,5072916,Y, ,125099,       846.20,       355.30,2021-01-08
72,N,EQ,COALINDIA,COAL INDIA LTD,       136.50,       137.10,       140.95,       137.10,       139.70,               3907729749.85,27964099,Y, ,163024,       214.60,       109.55,2021-01-08
73,N,EQ,DIVISLAB,DIVI'S LABORATORIES LTD,      3803.05,      3819.00,      3868.70,      3810.10,      3859.15,               2285215225.05,594069,Y, ,41071,      3914.95,      1626.00,2021-01-08
74,N,EQ,DRREDDY,DR. REDDY'S LABORATORIES,      5270.90,      5299.90,      5360.00,      5279.00,      5338.25,               4314627572.95,809183,Y, ,45991,      5512.65,      2495.05,2021-01-08
75,N,EQ,EICHERMOT,EICHER MOTORS LTD,      2649.80,      2661.00,      2771.30,      2661.00,      2760.85,               7075419751.60,2585123,Y, ,109691,     22339.95,      2015.20,2021-01-08
76,N,EQ,GAIL,GAIL (INDIA) LTD,       133.45,       134.50,       134.65,       131.65,       132.75,               2281192818.65,17130661,Y, ,60600,       136.00,        65.00,2021-01-08
77,N,EQ,GRASIM,GRASIM INDUSTRIES LTD,       993.85,       999.65,      1023.85,       992.10,      1004.30,               2403369142.40,2381402,Y, ,44294,      1023.85,       385.05,2021-01-08
78,N,EQ,HCLTECH,HCL TECHNOLOGIES LTD,       962.55,       974.90,      1003.50,       970.00,       994.65,               7927736978.75,8034775,Y, ,112810,      1003.50,       375.25,2021-01-08
79,N,EQ,HDFC,HDFC LTD,      2661.35,      2668.00,      2674.40,      2631.00,      2657.50,              11903528947.45,4497042,Y, ,129843,      2709.35,      1473.45,2021-01-08
80,N,EQ,HDFCBANK,HDFC BANK LTD,      1416.25,      1432.00,      1442.00,      1423.10,      1431.65,               9863997390.15,6884382,Y, ,162375,      1464.40,       738.75,2021-01-08
81,N,EQ,HDFCLIFE,HDFC LIFE INS CO LTD,       704.30,       715.40,       721.95,       708.10,       717.00,               2033805435.05,2841346,Y, ,54878,       723.80,       340.00,2021-01-08
82,N,EQ,HEROMOTOCO,HERO MOTOCORP LIMITED,      3055.25,      3070.00,      3165.95,      3063.10,      3161.10,               4923642311.00,1576465,Y, ,75281,      3394.90,      1475.00,2021-01-08
83,N,EQ,HINDALCO,HINDALCO  INDUSTRIES  LTD,       272.90,       273.95,       274.45,       265.15,       268.20,               5541245364.15,20606695,Y, ,107247,       275.40,        84.90,2021-01-08
84,N,EQ,HINDUNILVR,HINDUSTAN UNILEVER LTD.,      2368.85,      2390.00,      2400.00,      2360.80,      2391.20,               6649822490.75,2797948,Y, ,130288,      2614.30,      1757.30,2021-01-08
85,N,EQ,ICICIBANK,ICICI BANK LTD.,       541.10,       547.00,       547.10,       536.35,       542.05,              11868728979.40,21937965,Y, ,169218,       554.40,       268.30,2021-01-08
86,N,EQ,INDUSINDBK,INDUSIND BANK LIMITED,       952.05,       965.00,       976.00,       932.10,       939.80,              10359953762.40,10838196,Y, ,160280,      1585.00,       235.55,2021-01-08
87,N,EQ,INFY,INFOSYS LIMITED,      1262.15,      1278.25,      1316.80,      1278.25,      1312.10,              17117011224.65,13186251,Y, ,227983,      1316.80,       509.25,2021-01-08
88,N,EQ,IOC,INDIAN OIL CORP LTD,        94.50,        95.10,        96.40,        94.65,        96.15,               2162361045.15,22542041,Y, ,58002,       128.20,        71.15,2021-01-08
89,N,EQ,ITC,ITC LTD,       202.80,       204.35,       206.00,       200.25,       201.50,              11439843997.50,56427360,Y, ,287998,       243.90,       134.60,2021-01-08
90,N,EQ,JSWSTEEL,JSW STEEL LIMITED,       405.40,       410.30,       410.45,       398.50,       402.85,               3061369726.90,7559664,Y, ,96666,       413.10,       132.50,2021-01-08
91,N,EQ,KOTAKBANK,KOTAK MAHINDRA BANK LTD,      1952.40,      1972.00,      1976.00,      1946.25,      1970.70,               6402165060.00,3262897,Y, ,82858,      2027.00,      1001.00,2021-01-08
92,N,EQ,LT,LARSEN & TOUBRO LTD.,      1338.95,      1349.80,      1382.95,      1347.00,      1373.40,               6829485325.45,4984995,Y, ,136691,      1383.70,       661.00,2021-01-08
93,N,EQ,M&M,MAHINDRA & MAHINDRA LTD,       744.40,       750.00,       772.80,       745.00,       770.50,               4579046016.05,5998381,Y, ,124731,       772.80,       245.40,2021-01-08
94,N,EQ,MARUTI,MARUTI SUZUKI INDIA LTD.,      7566.05,      7600.00,      8060.00,      7600.00,      8014.90,              20202726188.90,2557157,Y, ,206469,      8060.00,      4001.10,2021-01-08
95,N,EQ,NESTLEIND,NESTLE INDIA LIMITED,     18127.30,     18227.30,     18350.00,     18000.00,     18306.25,               2752733293.30,151635,Y, ,36021,     18844.00,     12200.00,2021-01-08
96,N,EQ,NTPC,NTPC LTD,        97.00,        97.60,       100.50,        97.35,       100.15,               4296137619.65,43240591,Y, ,80118,       125.00,        73.20,2021-01-08
97,N,EQ,ONGC,OIL AND NATURAL GAS CORP.,        97.90,        98.95,       101.30,        98.55,       100.65,               3594084430.90,36022114,Y, ,94894,       129.80,        50.00,2021-01-08
98,N,EQ,POWERGRID,POWER GRID CORP. LTD.,       197.05,       198.75,       204.00,       197.55,       203.55,               3355325314.30,16586958,Y, ,70433,       211.00,       122.15,2021-01-08
99,N,EQ,RELIANCE,RELIANCE INDUSTRIES LTD,      1911.15,      1918.00,      1938.40,      1912.10,      1933.70,              24441751752.65,12709792,Y, ,270966,      2369.35,       875.65,2021-01-08
100,N,EQ,SBILIFE,SBI LIFE INSURANCE CO LTD,       914.15,       920.00,       954.50,       918.00,       935.50,               4164061300.85,4436263,Y, ,125721,      1020.00,       519.40,2021-01-08
101,N,EQ,SBIN,STATE BANK OF INDIA,       287.70,       290.10,       291.40,       285.20,       286.00,               9380501388.85,32543357,Y, ,169736,       337.95,       149.45,2021-01-08
102,N,EQ,SHREECEM,SHREE CEMENT LIMITED,     25002.15,     24960.00,     25979.50,     24960.00,     25813.40,               1947765291.25,76285,Y, ,20347,     25979.50,     15410.00,2021-01-08
103,N,EQ,SUNPHARMA,SUN PHARMACEUTICAL IND L,       601.90,       607.00,       622.80,       604.00,       620.80,               7067188082.15,11451416,Y, ,134402,       622.80,       312.00,2021-01-08
104,N,EQ,TATAMOTORS,TATA MOTORS LIMITED,       196.75,       198.75,       201.50,       197.10,       198.15,              10768126835.90,53991568,Y, ,191216,       201.70,        63.50,2021-01-08
105,N,EQ,TATASTEEL,TATA STEEL LIMITED,       722.80,       727.00,       727.25,       703.10,       713.15,              13844858404.60,19329313,Y, ,188934,       731.50,       250.85,2021-01-08
106,N,EQ,TCS,TATA CONSULTANCY SERV LT,      3032.80,      3090.00,      3128.00,      3060.00,      3120.90,              18230717038.75,5879039,Y, ,214010,      3128.00,      1506.05,2021-01-08
107,N,EQ,TECHM,TECH MAHINDRA LIMITED,       994.75,      1007.75,      1060.00,      1005.45,      1051.10,               9637082636.30,9279370,Y, ,139872,      1060.00,       471.40,2021-01-08
108,N,EQ,TITAN,TITAN COMPANY LIMITED,      1542.35,      1547.90,      1555.30,      1521.50,      1548.60,               5348068788.85,3478504,Y, ,96106,      1621.35,       720.90,2021-01-08
109,N,EQ,ULTRACEMCO,ULTRATECH CEMENT LIMITED,      5397.95,      5419.00,      5613.30,      5417.55,      5591.75,               4448281975.75,802681,Y, ,61053,      5613.30,      2910.00,2021-01-08
110,N,EQ,UPL,UPL LIMITED,       482.50,       485.00,       506.00,       484.80,       503.65,               8078800123.10,16114942,Y, ,180917,       614.90,       240.15,2021-01-08
111,N,EQ,WIPRO,WIPRO LTD,       406.75,       407.50,       432.65,       407.25,       430.20,              17363008226.95,40993230,Y, ,277996,       432.65,       159.40,2021-01-08
114,N,EQ,ABBOTINDIA,ABBOTT INDIA LIMITED,     15435.95,     15549.90,     15699.95,     15445.05,     15496.05,                204600500.60,13199,N, ,4374,     18679.75,     12186.55,2021-01-08
115,N,EQ,ACC,ACC LIMITED,      1704.35,      1720.00,      1769.55,      1713.05,      1761.25,               3728867671.95,2133816,N, ,64866,      1785.00,       895.15,2021-01-08
116,N,EQ,ADANIGREEN,ADANI GREEN ENERGY LTD,      1063.10,      1071.00,      1076.00,      1009.95,      1014.90,               1682758970.55,1646213,N, ,48326,      1220.00,       111.90,2021-01-08
117,N,EQ,ADANITRANS,ADANI TRANSMISSION LTD,       454.65,       456.70,       460.00,       452.50,       454.75,                161457446.65,354700,N, ,9688,       462.30,       147.50,2021-01-08
118,N,EQ,ALKEM,ALKEM LABORATORIES LTD.,      3007.55,      3020.00,      3068.80,      3000.00,      3041.25,                298759120.70,98299,N, ,10246,      3090.00,      1881.30,2021-01-08
119,N,EQ,AMBUJACEM,AMBUJA CEMENTS LTD,       263.00,       265.00,       271.40,       264.30,       269.95,               2183990162.85,8135272,N, ,55445,       272.00,       136.55,2021-01-08
120,N,EQ,AUROPHARMA,AUROBINDO PHARMA LTD,       957.45,       957.00,       967.00,       940.60,       945.45,               2558298330.30,2685467,N, ,52721,       996.85,       288.85,2021-01-08
121,N,EQ,BAJAJHLDNG,BAJAJ HOLDINGS & INVS LTD,      3128.05,      3150.00,      3150.00,      3124.00,      3131.30,                140872115.95,44992,N, ,5398,      3950.00,      1460.15,2021-01-08
122,N,EQ,BANDHANBNK,BANDHAN BANK LIMITED,       405.80,       411.05,       424.00,       409.40,       419.40,               7022427320.15,16763434,N, ,150662,       526.00,       152.20,2021-01-08
123,N,EQ,BANKBARODA,BANK OF BARODA,        66.15,        67.00,        67.15,        65.30,        65.55,               1510759032.75,22794827,N, ,37388,        99.95,        36.00,2021-01-08
124,N,EQ,BERGEPAINT,BERGER PAINTS (I) LTD,       792.00,       793.45,       812.95,       792.65,       810.60,                777105033.90,967826,N, ,28464,       812.95,       389.35,2021-01-08
125,N,EQ,BIOCON,BIOCON LIMITED.,       454.80,       466.15,       467.95,       461.25,       465.65,               2581734804.75,5550289,N, ,61266,       487.75,       235.55,2021-01-08
126,N,EQ,BOSCHLTD,BOSCH LIMITED,     13863.65,     14000.00,     14181.75,     13801.05,     13856.55,               1275033853.30,91160,N, ,18027,     15550.00,      7850.00,2021-01-08
127,N,EQ,CADILAHC,CADILA HEALTHCARE LIMITED,       482.20,       485.00,       489.40,       483.50,       485.15,               1078277154.05,2216314,N, ,28059,       499.25,       202.00,2021-01-08
128,N,EQ,COLPAL,COLGATE PALMOLIVE LTD.,      1592.10,      1599.00,      1625.00,      1599.00,      1614.75,               1193308406.60,738807,N, ,45574,      1630.00,      1065.00,2021-01-08
129,N,EQ,CONCOR,CONTAINER CORP OF IND LTD,       431.30,       436.95,       446.95,       433.80,       442.55,               2277589139.50,5146410,N, ,199882,       602.20,       263.40,2021-01-08
