,Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts,Total Short Contracts,ForDate,Future Index Delta,Option Index Call Delta,Option Index Put Delta,Future Stock Delta,Option Stock Call Delta,Option Stock Put Delta
235,Client,192430,171145,750667,154863,792197,791634,822740,926949,603726,172775,379398,246258,3303429,2701353,2021-03-19,21285,-30543,-135315,595804,224328,-73483
240,Client,203150,170772,752560,156796,1044801,884304,1029217,1026173,607783,177615,378924,246194,3670213,3008076,2021-03-22,32378,15584,-141869,595764,228859,-68579
245,Client,199305,162629,749603,147241,961643,1031713,990123,1134253,566488,177630,362454,239448,3686382,3036148,2021-03-23,36676,-28480,-102540,602362,204034,-61818
250,Client,199231,168438,747561,141223,1301095,917180,1188853,1084340,519829,155103,329301,234155,3839999,3146310,2021-03-24,30793,112242,-167160,606338,190528,-79052
255,Client,161408,156419,709781,98599,528460,450890,524076,599861,215924,77818,125886,147952,2144281,1652793,2021-03-25,4989,4384,-148971,611182,90038,-70134
236,DII,674,36660,30459,833615,267,13178,0,0,0,0,13459,0,44578,883734,2021-03-19,-35986,267,13178,-803156,-13459,0
241,DII,674,39214,30414,837745,267,13178,0,0,0,0,13467,0,44533,890426,2021-03-22,-38540,267,13178,-807331,-13467,0
246,DII,674,39188,29968,840229,267,13178,0,0,0,0,13464,0,44087,892881,2021-03-23,-38514,267,13178,-810261,-13464,0
251,DII,676,33999,29186,840640,267,10264,0,0,0,0,13457,0,40393,888096,2021-03-24,-33323,267,10264,-811454,-13457,0
256,DII,693,26145,19630,844331,267,7175,0,0,0,0,0,0,27765,870476,2021-03-25,-25452,267,7175,-824701,0,0
237,FII,79209,45492,628942,519651,227126,358253,159829,187643,40401,37552,56100,37090,1371483,1005805,2021-03-19,33717,67297,170610,109291,-15699,462
242,FII,82180,49345,626522,513813,260861,386292,195226,200402,38060,36695,54793,33073,1430610,1046652,2021-03-22,32835,65635,185890,112709,-16733,3622
247,FII,83255,44651,618290,504555,278462,404694,206871,220225,37606,35685,53264,33149,1457992,1062715,2021-03-23,38604,71591,184469,113735,-15658,2536
252,FII,80977,59068,603776,497375,299327,420519,224977,211495,33144,33659,47429,31915,1471402,1072259,2021-03-24,21909,74350,209024,106401,-14285,1744
257,FII,66707,40121,587212,454657,137141,243188,91442,110103,10764,15331,16595,13861,1060343,726779,2021-03-25,26586,45699,133085,132555,-5831,1470
238,Pro,24639,43655,184919,86858,290107,248544,327128,297017,107376,168110,302546,95089,1023695,1152293,2021-03-19,-19016,-37021,-48473,98061,-195170,73021
243,Pro,25354,52027,189722,90864,323197,275257,404683,332456,112607,165157,311266,100200,1091294,1291496,2021-03-22,-26673,-81486,-57199,98858,-198659,64957
248,Pro,23188,59954,184230,90066,331373,318241,374751,413348,111748,159468,286660,100186,1128248,1324965,2021-03-23,-36766,-43378,-95107,94164,-174912,59282
253,Pro,22904,42283,183716,85001,356434,306450,543293,358578,111829,170504,274615,93196,1151837,1396966,2021-03-24,-19379,-186859,-52128,98715,-162786,77308
258,Pro,20739,26862,143101,62137,176729,172980,227079,164269,42960,102967,127167,34303,659476,641817,2021-03-25,-6123,-50350,8711,80964,-84207,68664
